Starting gRPC server
cd ../grpc-server/build && ./grpcServer
Order, good,-0.22 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:23:51 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:23:52 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:23:55 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:23:56 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:23:58 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:24:00 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:24:02 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[RIPI], 708.400000, 704.858000, 0.000000, time,Sat Apr 27 01:24:05 -03 2024
Order, good,-0.21 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[BINA], 705.600000, 704.894400, 0.000000, time,Sat Apr 27 01:24:05 -03 2024
Order, good,-0.24 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[BINA], 705.600000, 704.894400, 0.000000, time,Sat Apr 27 01:24:09 -03 2024
Order, good,-0.24 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[BINA], 705.600000, 704.894400, 0.000000, time,Sat Apr 27 01:24:09 -03 2024
Order, good,-0.26 ,ASK[BINA], 706.000000, 706.706000, 0.000000, BID[BINA], 705.600000, 704.894400, 0.000000, time,Sat Apr 27 01:24:12 -03 2024
Order, good,-0.24 ,ASK[BINA], 706.000000, 706.706000, 0.000000, BID[BINA], 705.700000, 704.994300, 0.000000, time,Sat Apr 27 01:24:15 -03 2024
Order, good,-0.21 ,ASK[BINA], 706.000000, 706.706000, 0.000000, BID[BINA], 705.900000, 705.194100, 0.000000, time,Sat Apr 27 01:24:16 -03 2024
Order, good,-0.21 ,ASK[BINA], 706.000000, 706.706000, 0.000000, BID[BINA], 705.900000, 705.194100, 0.000000, time,Sat Apr 27 01:24:17 -03 2024
Order, good,-0.23 ,ASK[BINA], 706.100000, 706.806100, 0.000000, BID[BINA], 705.900000, 705.194100, 0.000000, time,Sat Apr 27 01:24:21 -03 2024
